bestseller,brand,product_name,item_no,5_star,4_star,3_star,2_star,1_star,price,oz_at_price,options,sex,type,loves,reviews,dominant_color,floral,fresh ,warm,spicy|spice,earthy,woody|wood,musk|musky,vanilla,fruit|fruity,sweet,oil,rose
False,giorgio armani beauty,acqua di gio jumbo,1046168,8,0,1,0,0,118.0,6.7,,men,eau de toilette spray,1389,9,"(240, 241, 233)",0,0,0,0,0,1,0,0,1,0,0,1
False,maison margiela,’replica’ jazz club travel spray,1803592,98,13,3,1,1,28.0,0.34,,men,eau de toilette spray,7310,116,"(221, 220, 218)",0,0,0,1,0,0,1,1,0,1,1,0
False,giorgio armani beauty,acqua di gio pour homme,1046168,,,,,,118.0,,,men,eau de toilette spray,0,0,"(240, 241, 233)",0,0,0,0,0,1,0,0,1,0,0,1
False,bvlgari,man in black,1657428,12,1,0,0,0,76.0,2.0,['standard size'],men,eau de parfum spray,1045,13,"(42, 41, 42)",0,0,1,1,0,1,0,0,0,0,0,1
True,commodity,velvet,2039154,20,1,4,0,1,105.0,3.4,"['standard size', 'mini size']",unisex,eau de parfum spray,1053,26,"(29, 29, 29)",0,1,1,1,0,1,0,1,0,0,1,1
False,tom ford,tobacco oud,1565985,3,1,0,0,0,235.0,1.7,['standard size'],unisex,eau de parfum spray,1264,4,"(54, 52, 47)",0,0,0,1,0,1,0,0,0,0,1,0
False,giorgio armani beauty,emporio armani stronger with you,1977628,270,65,11,4,1,59.0,1.7,['standard size'],men,eau de toilette spray,1147,351,"(186, 121, 74)",0,0,1,1,0,0,0,0,0,1,0,0
True,commodity,whiskey,1700020,17,7,4,2,2,105.0,3.4,"['standard size', 'mini size']",unisex,eau de parfum spray,1896,32,"(200, 199, 196)",0,0,1,1,1,1,0,0,0,1,0,0
False,kilian,straight to heaven,2056851,3,0,0,0,0,295.0,1.7,"['standard size', 'mini size']",unisex,eau de parfum spray,512,3,"(52, 52, 52)",0,0,1,1,0,1,0,1,1,1,0,0
False,viktor&rolf,spicebomb extreme,1798479,6,1,0,0,0,120.0,3.04,,men,,547,7,"(223, 178, 120)",0,0,0,1,0,0,0,1,1,0,0,0
True,gucci,pour homme ii,997338,98,10,2,0,2,90.0,3.3,,men,eau de toilette spray,1613,112,"(185, 182, 169)",0,0,0,1,0,1,1,0,0,0,0,0
False,jo malone london,english oak & redcurrant cologne,2005973,6,1,1,0,0,136.0,3.4,['standard size'],unisex,spray,2154,8,"(235, 230, 215)",1,0,0,0,0,0,1,0,1,0,0,1
